Project Category,Product Category,Insight Category,Number of records,Link
MT&T - PC,Desktop,Desktops Tower,538,https://www.insight.com/en_US/shop/category/desktops/store.html?country=US&q=*%3A*&instockOnly=false&searchType=category&start=0&salesOrg=2400&sessionId=7E4D2A0C6650A5A7644CB1019B5D0FFE.appprd6-2&lang=en_US&category=hardware%2Fcomputers%2Fdesktops%2Fdesktops_tower&rows=100&userSegment=CES&tabType=products
Plotter,Plotter,Large Format and Plotter Printers,65,https://www.insight.com/en_US/shop/category/printers-and-print-supplies/store.html?country=US&q=*%3A*&instockOnly=false&start=0&salesOrg=2400&sessionId=987B76A69D639A88AFEE123D31797265.appprd6-2&lang=en_US&category=hardware%2Fprinters%2Flarge_format_and_plotter_printers&rows=100&userSegment=CES&tabType=products
Printers,Printers,All-in-One Printers,10,https://www.insight.com/en_US/shop/category/printers-and-print-supplies/store.html?country=US&q=*%3A*&instockOnly=false&start=0&salesOrg=2400&sessionId=987B76A69D639A88AFEE123D31797265.appprd6-2&lang=en_US&category=hardware%2Fprinters%2Fall_in_one_printers&rows=100&userSegment=CES&tabType=products
Printers,Printers,Color Laser Printers,34,https://www.insight.com/en_US/shop/category/printers-and-print-supplies/store.html?country=US&q=*%3A*&instockOnly=false&start=0&salesOrg=2400&sessionId=987B76A69D639A88AFEE123D31797265.appprd6-2&lang=en_US&category=hardware%2Fprinters%2Fcolor_laser_printers&rows=100&userSegment=CES&tabType=products
Printers,Printers,Inkjet Printers,221,https://www.insight.com/en_US/shop/category/printers-and-print-supplies/store.html?country=US&q=*%3A*&instockOnly=false&start=0&salesOrg=2400&sessionId=987B76A69D639A88AFEE123D31797265.appprd6-2&lang=en_US&category=hardware%2Fprinters%2Finkjet_printers&rows=100&userSegment=CES&tabType=products
Printers,Printers,Laser Printers,114,https://www.insight.com/en_US/shop/category/printers-and-print-supplies/store.html?country=US&q=*%3A*&instockOnly=false&start=0&salesOrg=2400&sessionId=987B76A69D639A88AFEE123D31797265.appprd6-2&lang=en_US&category=hardware%2Fprinters%2Flaser_printers&rows=100&userSegment=CES&tabType=products
Printers,Printers,Monochrome Printers,4,https://www.insight.com/en_US/shop/category/printers-and-print-supplies/store.html?country=US&q=*%3A*&instockOnly=false&start=0&salesOrg=2400&sessionId=987B76A69D639A88AFEE123D31797265.appprd6-2&lang=en_US&category=hardware%2Fprinters%2Fmonochrome_printers&rows=100&userSegment=CES&tabType=products
Printers,Printers,Photo Printers,14,https://www.insight.com/en_US/shop/category/printers-and-print-supplies/store.html?country=US&q=*%3A*&instockOnly=false&start=0&salesOrg=2400&sessionId=FD32E7BAE47F1D15F6608C4BCB384CE3.appprd6-2&lang=en_US&category=hardware%2Fprinters%2Fphoto_printers&rows=100&userSegment=CES&tabType=products
Printers,Printers,Thermal Printers,21,https://www.insight.com/en_US/shop/category/printers-and-print-supplies/store.html?country=US&q=*%3A*&instockOnly=false&start=0&salesOrg=2400&sessionId=987B76A69D639A88AFEE123D31797265.appprd6-2&lang=en_US&category=hardware%2Fprinters%2Fthermal_printers&rows=100&userSegment=CES&tabType=products
Printers,Printers,Wirless Printers,64,https://www.insight.com/en_US/shop/category/printers-and-print-supplies/store.html?country=US&q=*%3A*&instockOnly=false&start=0&salesOrg=2400&sessionId=987B76A69D639A88AFEE123D31797265.appprd6-2&lang=en_US&category=hardware%2Fprinters%2Fwireless_printers&rows=100&userSegment=CES&tabType=products
